Episode,Tree density,Trees in corridor ,Trees avoided ,Success,,,,,,,,,,,environment,Episode,Total Trees In Corridor,Trees Avoided,Success,stage
1,Sparse,2,2,Success,,,,,,,,,,,Simulation,1,2,2,TRUE,1
2,Medium,3,3,Success,,,,,,,,,,,Simulation,2,2,2,TRUE,1
3,Medium,3,1,Fail,,Sparse,50,,,,,,,,Simulation,3,2,2,TRUE,1
4,Medium,3,3,Success,,Medium,50,,,,,,,,Simulation,4,2,2,TRUE,1
5,Medium,3,3,Success,,,,,,,,,,,Simulation,5,2,2,TRUE,1
6,Sparse,2,2,Success,,,Simulation,,,Real life,,,,,Simulation,6,2,2,TRUE,1
7,Sparse,2,0,Fail,,Sparse Success,Sparse,Medium,Total,Sparse,Medium,Total,,,Simulation,7,2,2,TRUE,1
8,Sparse,2,1,Fail,,Total Succcess,,,,74.00%,70.00%,72.28%,,,Simulation,8,2,2,TRUE,1
9,Sparse,2,2,Success,,Total Detailed Succcess,9700.00%,,,83.00%,78.52%,80.32%,,,Simulation,9,2,2,TRUE,1
10,Sparse,2,2,Success,,,,,,,,,,,Simulation,10,2,2,TRUE,1
11,Medium,3,2,Fail,,,,,,,,,,,Simulation,11,2,2,TRUE,1
12,Medium,3,3,Success,,,,,,,,,,,Simulation,12,2,2,TRUE,1
13,Medium,3,3,Success,,,,,,,,,,,Simulation,13,2,2,TRUE,1
14,Medium,3,3,Success,,,,,,,,,,,Simulation,14,2,1,FALSE,1
15,Medium,3,1,Fail,,,,,,,,,,,Simulation,15,2,2,TRUE,1
16,Medium,3,3,Success,,,,,,,,,,,Simulation,16,2,2,TRUE,1
17,Sparse,2,2,Success,,,,,,,,,,,Simulation,17,2,2,TRUE,1
18,Sparse,2,2,Success,,,,,,,,,,,Simulation,18,2,2,TRUE,1
19,Sparse,2,2,Success,,,,,,,,,,,Simulation,19,2,2,TRUE,1
20,Sparse,2,2,Success,,,,,,,,,,,Simulation,20,2,2,TRUE,1
21,Sparse,2,1,Fail,,,,,,,,,,,Simulation,21,2,2,TRUE,1
22,Sparse,2,2,Success,,,,,,,,,,,Simulation,22,2,2,TRUE,1
23,Sparse,2,0,Fail,,,,,,,,,,,Simulation,23,2,2,TRUE,1
24,Medium,3,3,Success,,,,,,,,,,,Simulation,24,2,1,FALSE,1
25,Medium,3,0,Fail,,,,,,,,,,,Simulation,25,2,2,TRUE,1
26,Medium,3,3,Success,,,,,,,,,,,Simulation,26,2,2,TRUE,1
27,Medium,3,3,Success,,,,,,,,,,,Simulation,27,2,2,TRUE,1
28,Medium,3,3,Success,,,,,,,,,,,Simulation,28,2,2,TRUE,1
29,Medium,3,0,Fail,,,,,,,,,,,Simulation,29,2,2,TRUE,1
30,Medium,3,3,Success,,,,,,,,,,,Simulation,30,2,2,TRUE,1
